Name,URL,Author,Price,Number of Ratings,Average Rating
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,https://www.amazon.com/Complete-Ketogenic-Diet-Beginners-Essential/dp/1623158087?_encoding=UTF8&psc=1,Amy Ramos,$9.36,691,4.2 out of 5 stars
Before We Were Yours: A Novel,https://www.amazon.com/Before-We-Were-Yours-Novel/dp/0425284689?_encoding=UTF8&psc=1,Lisa Wingate,$15.60,"5,896",4.7 out of 5 stars
The Whole30: The 30-Day Guide to Total Health and Food Freedom,https://www.amazon.com/Whole30-30-Day-Guide-Health-Freedom/dp/0544609719?_encoding=UTF8&psc=1,Melissa Hartwig,$18.00,"3,198",4.6 out of 5 stars
The Great Alone: A Novel,https://www.amazon.com/Great-Alone-Novel-Kristin-Hannah/dp/0312577230?_encoding=UTF8&psc=1,Kristin Hannah,$17.39,"1,531",4.6 out of 5 stars
How to Win Friends & Influence People,https://www.amazon.com/How-Win-Friends-Influence-People/dp/0671027034?_encoding=UTF8&psc=1,Dale Carnegie,$9.60,"8,058",4.7 out of 5 stars
The Pout-Pout Fish,https://www.amazon.com/Pout-Pout-Fish-Deborah-Diesen/dp/0374360979?_encoding=UTF8&psc=1,Deborah Diesen,$5.79,"2,284",4.8 out of 5 stars
A Brief History of Time,https://www.amazon.com/Brief-History-Time-Stephen-Hawking/dp/0553380168?_encoding=UTF8&psc=1,Stephen Hawking,$10.69,"2,128",4.5 out of 5 stars
I've Loved You Since Forever,https://www.amazon.com/Ive-Loved-You-Since-Forever/dp/0062841742?_encoding=UTF8&psc=1,Hoda Kotb,$14.24,66,4.6 out of 5 stars
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",https://www.amazon.com/Plant-Paradox-Dangers-Healthy-Disease/dp/006242713X?_encoding=UTF8&psc=1,Dr. Steven R Gundry,$16.79,"1,251",4.5 out of 5 stars
The Sun and Her Flowers,https://www.amazon.com/Sun-Her-Flowers-Rupi-Kaur/dp/1449486797?_encoding=UTF8&psc=1,Rupi Kaur,$10.19,669,4.6 out of 5 stars
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are so You Can Become Who You Were Meant to Be",https://www.amazon.com/Girl-Wash-Your-Face-Believing/dp/1400201659?_encoding=UTF8&psc=1,Rachel Hollis,$13.83,"1,128",4.9 out of 5 stars
Children of Blood and Bone (Legacy of Orisha),https://www.amazon.com/Children-Blood-Bone-Legacy-Orisha/dp/1250170974?_encoding=UTF8&psc=1,Tomi Adeyemi,$11.95,202,4.7 out of 5 stars
Baby Touch and Feel: Animals,https://www.amazon.com/Baby-Touch-Feel-Animals-DK/dp/0756634687?_encoding=UTF8&psc=1,DK,$4.19,"1,621",4.5 out of 5 stars
"The Official SAT Study Guide, 2018 Edition (Official Study Guide for the New Sat)",https://www.amazon.com/Official-SAT-Study-Guide-2018/dp/1457309289?_encoding=UTF8&psc=1,The College Board,$19.79,217,4.5 out of 5 stars
"I've Been Thinking . . .: Reflections, Prayers, and Meditations for a Meaningful Life",https://www.amazon.com/Ive-Been-Thinking-Reflections-Meditations/dp/0525522603?_encoding=UTF8&psc=1,Maria Shriver,$11.99,162,4.9 out of 5 stars
"The Rock, the Road, and the Rabbi: My Journey into the Heart of Scriptural Faith and the Land Where It All Began",https://www.amazon.com/Rock-Road-Rabbi-Journey-Scriptural/dp/0785215964?_encoding=UTF8&psc=1,Kathie Lee Gifford,$14.99,61,4.5 out of 5 stars
There Was an Old Lady Who Swallowed a Chick!,https://www.amazon.com/There-Was-Lady-Swallowed-Chick/dp/0545161819?_encoding=UTF8&psc=1,Lucille Colandro,$4.99,63,4.8 out of 5 stars
Call Me by Your Name: A Novel,https://www.amazon.com/Call-Me-Your-Name-Novel/dp/1250169445?_encoding=UTF8&psc=1,André Aciman,$10.13,"1,172",4.6 out of 5 stars
There's No Place Like Space: All About Our Solar System  (Cat in the Hat's Learning Library),https://www.amazon.com/Theres-No-Place-Like-Space/dp/0679891153?_encoding=UTF8&psc=1,Tish Rabe,$8.99,663,4.7 out of 5 stars
My First Easter,https://www.amazon.com/My-First-Easter-Tomie-dePaola/dp/0448447908?_encoding=UTF8&psc=1,Tomie dePaola,$5.99,81,4.1 out of 5 stars
Beneath a Scarlet Sky: A Novel,https://www.amazon.com/Beneath-Scarlet-Sky-Mark-Sullivan/dp/1503943372?_encoding=UTF8&psc=1,Mark Sullivan,$8.63,"16,975",4.8 out of 5 stars
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,https://www.amazon.com/Instant-Electric-Pressure-Cooker-Cookbook/dp/1623156122?_encoding=UTF8&psc=1,Laurel Randolph,$8.99,"2,238",4.1 out of 5 stars
"Brown Bear, Brown Bear, What Do You See?",https://www.amazon.com/Brown-Bear-What-You-See/dp/0805047905?_encoding=UTF8&psc=1,Bill Martin Jr.,$6.08,"2,679",4.8 out of 5 stars
Principles: Life and Work,https://www.amazon.com/Principles-Life-Work-Ray-Dalio/dp/1501124021?_encoding=UTF8&psc=1,Ray Dalio,$18.00,456,4.4 out of 5 stars
Potty (Leslie Patricelli board books),https://www.amazon.com/Potty-Leslie-Patricelli-board-books/dp/0763644765?_encoding=UTF8&psc=1,Leslie Patricelli,$4.00,"2,974",4.6 out of 5 stars
Dungeon Master's Guide (D&D Core Rulebook),https://www.amazon.com/Dungeon-Masters-Guide-Core-Rulebook/dp/0786965622?_encoding=UTF8&psc=1,Wizards RPG Team,$29.97,"1,138",4.6 out of 5 stars
Astrophysics for People in a Hurry,https://www.amazon.com/Astrophysics-People-Hurry-deGrasse-Tyson/dp/0393609391?_encoding=UTF8&psc=1,Neil deGrasse Tyson,$11.37,"2,590",4.6 out of 5 stars
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,https://www.amazon.com/Lettering-Modern-Calligraphy-Beginners-Guide/dp/1948209004?_encoding=UTF8&psc=1,Paper Peony Press,$6.97,159,4.5 out of 5 stars
What to Expect When You're Expecting,https://www.amazon.com/What-Expect-When-Youre-Expecting/dp/0761187480?_encoding=UTF8&psc=1,Heidi Murkoff,$14.32,"4,171",4.4 out of 5 stars
Easter Basket Stuffers for Kids: Word Search Easter Gifts for Boys and Girls,https://www.amazon.com/Easter-Basket-Stuffers-Kids-Search/dp/1986305465?_encoding=UTF8&psc=1,Smith,$6.84,8,5.0 out of 5 stars
"The Keto Diet: The Complete Guide to a High-Fat Diet, with More Than 125 Delectable Recipes and 5 Meal Plans to Shed Weight, Heal Your Body, and Regain Confidence",https://www.amazon.com/Keto-Diet-Complete-Delectable-Confidence/dp/1628600160?_encoding=UTF8&psc=1,Leanne Vogel,$20.97,"1,450",4.6 out of 5 stars
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,https://www.amazon.com/Ill-Be-Gone-Dark-Obsessive/dp/0062319787?_encoding=UTF8&psc=1,Michelle McNamara,$16.79,162,4.6 out of 5 stars
Love You Forever,https://www.amazon.com/Love-You-Forever-Robert-Munsch/dp/0920668372?_encoding=UTF8&psc=1,Robert Munsch,$5.44,"6,375",4.8 out of 5 stars
Magnolia Table: A Collection of Recipes for Gathering,https://www.amazon.com/Magnolia-Table-Collection-Recipes-Gathering/dp/006282015X?_encoding=UTF8&psc=1,Joanna Gaines,$17.99,Not available,Not available
Educated: A Memoir,https://www.amazon.com/Educated-Memoir-Tara-Westover/dp/0399590501?_encoding=UTF8&psc=1,Tara Westover,$16.80,450,4.7 out of 5 stars
Monster Manual (D&D Core Rulebook),https://www.amazon.com/Monster-Manual-Core-Rulebook-Wizards/dp/0786965614?_encoding=UTF8&psc=1,Wizards RPG Team,$29.97,"1,124",4.7 out of 5 stars
Where Do Diggers Sleep at Night?,https://www.amazon.com/Where-Do-Diggers-Sleep-Night/dp/0385374151?_encoding=UTF8&psc=1,Brianna Caplan Sayres,$5.26,"1,265",4.8 out of 5 stars
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,https://www.amazon.com/Life-Changing-Magic-Tidying-Decluttering-Organizing/dp/1607747308?_encoding=UTF8&psc=1,Marie Kondō,$10.19,"12,919",4.4 out of 5 stars
An American Marriage: A Novel (Oprah's Book Club 2018 Selection),https://www.amazon.com/American-Marriage-Novel-Oprahs-Selection/dp/1616208775?_encoding=UTF8&psc=1,Tayari Jones,$16.17,667,4.6 out of 5 stars
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),https://www.amazon.com/Dog-Man-Kitties-Creator-Underpants/dp/0545935210?_encoding=UTF8&psc=1,Dav Pilkey,$6.08,408,4.8 out of 5 stars
"Junie B., First Grader: Dumb Bunny (Book 27)",https://www.amazon.com/Junie-B-First-Grader-Bunny/dp/0375838104?_encoding=UTF8&psc=1,Barbara Park,$4.99,128,4.6 out of 5 stars
Man's Search for Meaning,https://www.amazon.com/Mans-Search-Meaning-Viktor-Frankl/dp/080701429X?_encoding=UTF8&psc=1,Viktor E. Frankl,$6.99,"4,103",4.7 out of 5 stars
Killing the Deep State: The Fight to Save President Trump,https://www.amazon.com/Killing-Deep-State-Fight-President/dp/1630061026?_encoding=UTF8&psc=1,Jerome R. Corsi,$17.99,309,4.8 out of 5 stars
The Alchemist,https://www.amazon.com/Alchemist-Paulo-Coelho/dp/0062315005?_encoding=UTF8&psc=1,Paulo Coelho,$10.19,"11,797",4.6 out of 5 stars
I Can Only Imagine: A Memoir,https://www.amazon.com/I-Can-Only-Imagine-Memoir/dp/0785216731?_encoding=UTF8&psc=1,Bart Millard,$11.23,198,5.0 out of 5 stars
Guess How Much I Love You,https://www.amazon.com/Guess-How-Much-Love-You/dp/0763642649?_encoding=UTF8&psc=1,Sam McBratney,$5.49,"2,039",4.7 out of 5 stars
Jesus Calling: Enjoying Peace in His Presence,https://www.amazon.com/Jesus-Calling-Enjoying-Peace-Presence/dp/1591451884?_encoding=UTF8&psc=1,Sarah Young,$9.72,"16,563",4.9 out of 5 stars
Dog Man: From the Creator of Captain Underpants (Dog Man #1),https://www.amazon.com/Dog-Man-Creator-Captain-Underpants/dp/0545581605?_encoding=UTF8&psc=1,Dav Pilkey,$6.08,353,4.7 out of 5 stars
The Splat: Coloring the '90s (Nickelodeon) (Adult Coloring Book),https://www.amazon.com/Splat-Coloring-Nickelodeon-Adult-Book/dp/1524715212?_encoding=UTF8&psc=1,Random House,$10.34,143,4.6 out of 5 stars
Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2),https://www.amazon.com/Dog-Man-Unleashed-Creator-Underpants/dp/0545935202?_encoding=UTF8&psc=1,Dav Pilkey,$7.99,416,4.8 out of 5 stars
The Itsy Bitsy Bunny,https://www.amazon.com/Itsy-Bitsy-Bunny-Jeffrey-Burton/dp/1481456210?_encoding=UTF8&psc=1,Jeffrey Burton,$5.68,63,4.8 out of 5 stars
A Gentleman in Moscow: A Novel,https://www.amazon.com/Gentleman-Moscow-Novel-Amor-Towles/dp/0670026190?_encoding=UTF8&psc=1,Amor Towles,$16.20,"7,721",4.7 out of 5 stars
12 Rules For Life,https://www.amazon.com/12-Rules-Life-Jordan-Peterson/dp/0241351642?_encoding=UTF8&psc=1,Jordan B. Peterson,$13.59,"1,587",4.7 out of 5 stars
